#Bond	 MDR
0.200000	 10.244373
0.400000	 6.020200
0.600000	 4.641302
0.800000	 3.964108
1.000000	 3.564910
1.200000	 3.303076
1.400000	 3.118484
1.600000	 2.981769
1.800000	 2.876947
2.000000	 2.794387
2.500000	 2.648499
3.000000	 2.553796
3.500000	 2.487843
4.000000	 2.439570
4.500000	 2.402899
5.000000	 2.374229
5.500000	 2.351293
6.000000	 2.332596
6.500000	 2.317115
7.000000	 2.304126
7.500000	 2.293105
8.000000	 2.283661
8.500000	 2.275500
9.000000	 2.268393
9.500000	 2.262166
10.000000	 2.256672
