#Bond	 MDR
0.200000	 10.418102
0.400000	 6.025418
0.600000	 4.507394
0.800000	 3.726405
1.000000	 3.247838
1.200000	 2.922742
1.400000	 2.686508
1.600000	 2.507706
1.800000	 2.366971
2.000000	 2.253317
2.500000	 2.047201
3.000000	 1.908673
3.500000	 1.809489
4.000000	 1.735355
4.500000	 1.678142
5.000000	 1.632868
5.500000	 1.596300
6.000000	 1.566242
6.500000	 1.541151
7.000000	 1.519908
7.500000	 1.501942
8.000000	 1.486487
8.500000	 1.472948
9.000000	 1.461317
9.500000	 1.450977
10.000000	 1.441893
