#Bond	 MDR
0.200000	 9.241786
0.400000	 5.267902
0.600000	 3.897380
0.800000	 3.194376
1.000000	 2.762283
1.200000	 2.469520
1.400000	 2.256563
1.600000	 2.094960
1.800000	 1.967637
2.000000	 1.864887
2.500000	 1.677322
3.000000	 1.550751
3.500000	 1.459737
4.000000	 1.391268
4.500000	 1.338042
5.000000	 1.295622
5.500000	 1.261252
6.000000	 1.232827
6.500000	 1.208957
7.000000	 1.188635
7.500000	 1.171382
8.000000	 1.156434
8.500000	 1.143301
9.000000	 1.131985
9.500000	 1.121843
10.000000	 1.112965
