#Bond	 MDR
0.200000	 10.967854
0.400000	 6.383898
0.600000	 4.799356
0.800000	 3.984130
1.000000	 3.483499
1.200000	 3.144150
1.400000	 2.898215
1.600000	 2.711194
1.800000	 2.564623
2.000000	 2.446600
2.500000	 2.232034
3.000000	 2.088500
3.500000	 1.986150
4.000000	 1.909807
4.500000	 1.851022
5.000000	 1.804612
5.500000	 1.767212
6.000000	 1.736539
6.500000	 1.710987
7.000000	 1.689448
7.500000	 1.671324
8.000000	 1.655661
8.500000	 1.642022
9.000000	 1.630327
9.500000	 1.619878
10.000000	 1.610830
